MongoClusterType,CloudProvider,RAM,CPUs,datavolume,shardingtype,indextype,querytype,responsetime,usagecost,df_name
flights-m80,Azure,0,0,10M,1,1,stringSearch_last_name,6.003086090087891,0,
flights-m80,Azure,0,0,10M,0,0,stringSearch_last_name,5.365248203277588,0,
flights-m80,Azure,0,0,10M,0,1,stringSearch_last_name,5.742465972900391,0,
flights-m80,Azure,0,0,10M,1,1,stringSearch_last_name,5.934143543243408,0,
flights-m80,Azure,0,0,10M,0,0,stringSearch_last_name,5.326259136199951,0,
flights-m80,Azure,0,0,10M,0,1,stringSearch_last_name,5.620917081832886,0,
flights-m80,Azure,0,0,10M,1,1,stringSearch_last_name,6.072149276733398,0,
flights-m80,Azure,0,0,20M,0,0,stringSearch_last_name,10.39160680770874,0,
flights-m80,Azure,0,0,20M,0,1,stringSearch_last_name,10.702455997467041,0,
flights-m80,Azure,0,0,20M,0,0,stringSearch_last_name,10.329643487930298,0,
flights-m80,Azure,0,0,20M,0,1,stringSearch_last_name,10.687753677368164,0,
flights-m80,Azure,0,0,20M,0,0,stringSearch_last_name,10.21398639678955,0,
flights-m80,Azure,0,0,20M,0,1,stringSearch_last_name,10.58755350112915,0,
flights-m80,Azure,0,0,20M,0,0,stringSearch_last_name,10.220154762268066,0,
flights-m80,Azure,0,0,20M,0,1,stringSearch_last_name,10.30013632774353,0,
flights-m80,Azure,0,0,20M,0,0,stringSearch_last_name,10.184720754623413,0,
flights-m80,Azure,0,0,20M,0,1,stringSearch_last_name,10.301209926605225,0,
flights-m80,Azure,0,0,50M,0,0,stringSearch_last_name,25.660678148269653,0,
flights-m80,Azure,0,0,50M,0,1,stringSearch_last_name,22.81816792488098,0,
flights-m80,Azure,0,0,50M,0,0,stringSearch_last_name,25.65503478050232,0,
flights-m80,Azure,0,0,50M,0,1,stringSearch_last_name,22.20707106590271,0,
flights-m80,Azure,0,0,50M,0,0,stringSearch_last_name,24.9740571975708,0,
flights-m80,Azure,0,0,50M,0,1,stringSearch_last_name,29.24631977081299,0,
flights-m80,Azure,0,0,50M,0,0,stringSearch_last_name,25.309052228927612,0,
flights-m80,Azure,0,0,50M,0,1,stringSearch_last_name,21.838252782821655,0,
flights-m80,Azure,0,0,50M,0,0,stringSearch_last_name,25.430091381072998,0,
flights-m80,Azure,0,0,50M,0,1,stringSearch_last_name,21.824567556381226,0,
flights-m80,Azure,0,0,100M,0,0,stringSearch_last_name,46.33997106552124,0,
flights-m80,Azure,0,0,100M,0,1,stringSearch_last_name,51.098474740982056,0,
flights-m80,Azure,0,0,100M,0,0,stringSearch_last_name,45.352431774139404,0,
flights-m80,Azure,0,0,100M,0,1,stringSearch_last_name,49.279709339141846,0,
flights-m80,Azure,0,0,100M,0,0,stringSearch_last_name,44.56804966926575,0,
flights-m80,Azure,0,0,100M,0,1,stringSearch_last_name,49.26806902885437,0,
flights-m80,Azure,0,0,100M,0,0,stringSearch_last_name,44.07332181930542,0,
flights-m80,Azure,0,0,100M,0,1,stringSearch_last_name,48.50051021575928,0,
flights-m80,Azure,0,0,100M,0,0,stringSearch_last_name,44.762080669403076,0,
flights-m80,Azure,0,0,100M,0,1,stringSearch_last_name,47.957639932632446,0,
