MongoClusterType,CloudProvider,RAM,CPUs,datavolume,shardingtype,indextype,querytype,responsetime,usagecost,df_name,Unnamed: 0,pricePerHr,pricePerS,Iops,Memory
flights-m200,Azure,256,64,1M,0,0,stringSearch_firstName,1.7990105152130127,0.016415970951318744,,9.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,1M,0,1,stringSearch_firstName,1.4234657287597656,0.012989124774932862,,10.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,1M,1,1,stringSearch_firstName,1.2735066413879397,0.011620748102664951,,11.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,1M,0,0,stringSearch_firstName,1.8721964359283447,0.01708379247784615,,12.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,1M,0,1,stringSearch_firstName,1.5178956985473633,0.013850798249244692,,13.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,1M,1,1,stringSearch_firstName,1.529097557067871,0.013953015208244325,,14.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,10M,0,0,stringSearch_firstName,13.75202751159668,0.12548725104331973,,15.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,10M,0,1,stringSearch_firstName,7.2116382122039795,0.06580619868636133,,16.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,10M,1,1,stringSearch_firstName,1.5020053386688232,0.013705798715353015,,17.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,10M,0,0,stringSearch_firstName,15.335865020751951,0.13993976831436158,,18.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,10M,0,1,stringSearch_firstName,8.216007232666016,0.0749710659980774,,19.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,10M,1,1,stringSearch_firstName,1.4473857879638672,0.01320739531517029,,20.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,10M,0,0,stringSearch_firstName,14.919386863708496,0.13613940513134004,,21.0,32.85,0.009125000000000001,1100,256
